year,title,imdb_rating,imdb_rating_0_1,num_imdb_ratings,mpaa_rating,run_time_min,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013
2011,Killer Elite,6.5,0.65,111147,R,116,70000000,25124986,57777106,72498355,26021717,59839216
2011,Kung Fu Panda 2,7.3,0.73,202214,PG,90,150000000,165249063,664837547,155353618,171146932,688566122
2011,Le Havre,7.2,0.72,16702,NOT RATED,93,5500000,611709,13480196,5696299,633541,13961315
2011,Like Crazy,6.7,0.67,51284,PG-13,86,250000,3395391,3731489,258923,3516575,3864669
2011,Limitless,7.4,0.74,452829,PG-13,105,27000000,79249455,169739455,27963651,82077930,175797590
2011,Margaret,6.5,0.65,13682,R,150,14000000,47185,47185,14499671,48869,48869
2011,Margin Call,7.1,0.71,99273,R,107,3400000,5353586,17872206,3521349,5544660,18510079
2011,Mars Needs Moms,5.4,0.54,18577,PG,88,150000000,21392758,39549758,155353618,22156282,40961320
2011,Martha Marcy May Marlene,6.9,0.6900000000000001,42706,R,102,1000000,2981038,3531038,1035691,3087434,3657064
2011,Melancholia,7.1,0.71,139692,R,135,9400000,3030848,18044073,9735493,3139021,18688080
2011,Midnight in Paris,7.7,0.77,326691,PG-13,94,30000000,56816662,154816662,31070724,58844493,160342190
2011,Mission: Impossible - Ghost Protocol,7.4,0.74,387782,PG-13,132,145000000,209397903,694713230,150175164,216871479,719508092
2011,Moneyball,7.6,0.76,301651,PG-13,133,50000000,75605492,111174374,51784539,78303911,115142275
2011,Mr. Popper's Penguins,6,0.6,72769,PG,94,55000000,68224452,189624452,56962993,70659436,196392298
2011,New Year's Eve,5.7,0.5700000000000001,70749,PG-13,113,26000000,54544638,143663899,26927960,56491379,148791377
2011,No Strings Attached,6.2,0.62,181270,R,108,25000000,70662220,149228078,25892270,73184210,154554145
2011,October Baby,6.8,0.6799999999999999,6484,PG-13,107,1000000,5355847,5355847,1035691,5547001,5547001
2011,Our Idiot Brother,6.4,0.64,77781,R,90,5000000,24814830,25861249,5178454,25700491,26784257
2011,Paranormal Activity 3,5.8,0.58,80658,R,83,5000000,104028807,207039844,5178454,107741677,214429259
